t_ns,dur_ns,bytes_freed,bytes_moved,live_bytes,free_bytes,largest_free_chunk
729000,41000,483044,0,41188,483044,483044
8097000,39000,483184,0,41008,483224,482948
15639000,43000,483064,0,41112,483120,482732
22621000,40000,482880,0,41148,483084,482348
29108000,42000,483092,0,41020,483212,482160
36322000,170000,483136,0,41096,483136,482016
44935000,42000,482900,0,41192,483040,481636
52274000,39000,483100,0,40988,483244,481456
59210000,40000,483080,0,41068,483164,481256
66802000,41000,483068,0,41064,483168,481044
71853000,39000,483112,0,40992,483240,480876
78493000,38000,483000,0,41116,483116,480596
84109000,40000,483040,0,41156,483076,480356
89840000,40000,483032,0,40984,483248,480120
